분류,구분,예측값,데이터타입,세부구분,비율,전년대비,신뢰도,특이사항
연도별_전체,2005년,"1,282,370명",실제,전체,100.0%,-,-,정상운영
연도별_전체,2006년,"1,738,500명",실제,전체,100.0%,+35.6%,-,정상운영
연도별_전체,2007년,"1,719,989명",실제,전체,100.0%,-1.1%,-,정상운영
연도별_전체,2008년,"1,757,034명",실제,전체,100.0%,+2.2%,-,정상운영
연도별_전체,2009년,"1,729,005명",실제,전체,100.0%,-1.6%,-,정상운영
연도별_전체,2010년,"1,744,179명",실제,전체,100.0%,+0.9%,-,정상운영
연도별_전체,2011년,"2,385,182명",실제,전체,100.0%,+36.8%,-,정상운영
연도별_전체,2012년,"2,383,576명",실제,전체,100.0%,-0.1%,-,정상운영
연도별_전체,2013년,"2,412,782명",실제,전체,100.0%,+1.2%,-,정상운영
연도별_전체,2014년,"2,423,636명",실제,전체,100.0%,+0.4%,-,정상운영
연도별_전체,2015년,"2,422,471명",실제,전체,100.0%,-0.0%,-,정상운영
연도별_전체,2016년,"3,563,400명",실제,전체,100.0%,+47.1%,-,정상운영
연도별_전체,2017년,"3,464,823명",실제,전체,100.0%,-2.8%,-,정상운영
연도별_전체,2018년,"4,030,616명",실제,전체,100.0%,+16.3%,-,정상운영
연도별_전체,2019년,"3,494,353명",실제,전체,100.0%,-13.3%,-,정상운영
연도별_전체,2020년,"338,484명",실제,전체,100.0%,-90.3%,-,코로나19 영향
연도별_전체,2021년,"1,045,623명",실제,전체,100.0%,+208.9%,-,코로나19 영향
연도별_전체,2022년,"2,119,499명",실제,전체,100.0%,+102.7%,-,코로나19 영향
연도별_전체,2023년,"3,896,036명",실제,전체,100.0%,+83.8%,-,회복기
연도별_전체,2024년,"3,920,478명",실제,전체,100.0%,+0.6%,-,회복기
연도별_전체,2025년,"3,962,784명",실제,전체,100.0%,+1.1%,-,회복기
연도별_전체,2026년,"5,187,689명",예측,전체,100.0%,+30.9%,80.7%,성장기 예측
2026년_분기별,1분기,"927,208명",예측,1-3월,17.9%,-,80.7%,일반
2026년_분기별,2분기,"1,265,199명",예측,4-6월,24.4%,-,80.7%,일반
2026년_분기별,3분기,"1,581,517명",예측,7-9월,30.5%,-,80.7%,여름성수기
2026년_분기별,4분기,"1,413,765명",예측,10-12월,27.3%,-,80.7%,겨울성수기
2026년_월별,1월,"285,287명",예측,비수기_겨울,5.5%,-,80.7%,겨울비수기_최저수요
2026년_월별,2월,"250,909명",예측,비수기_겨울,4.8%,-,80.7%,겨울비수기_최저수요
2026년_월별,3월,"391,012명",예측,비수기_봄,7.5%,-,80.7%,일반수요
2026년_월별,4월,"388,075명",예측,비수기_봄,7.5%,-,80.7%,일반수요
2026년_월별,5월,"404,608명",예측,비수기_봄,7.8%,-,80.7%,일반수요
2026년_월별,6월,"472,516명",예측,준성수기_여름,9.1%,-,80.7%,준성수기_안정수요
2026년_월별,7월,"560,834명",예측,성수기_여름,10.8%,-,80.7%,여름휴가철_최대수요
2026년_월별,8월,"572,822명",예측,성수기_여름,11.0%,-,80.7%,여름휴가철_최대수요
2026년_월별,9월,"447,861명",예측,준성수기_가을,8.6%,-,80.7%,준성수기_안정수요
2026년_월별,10월,"378,673명",예측,비수기_가을,7.3%,-,80.7%,일반수요
2026년_월별,11월,"473,718명",예측,준성수기_가을,9.1%,-,80.7%,준성수기_안정수요
2026년_월별,12월,"561,374명",예측,성수기_겨울,10.8%,-,80.7%,연말연시_고수요
2026년_국가별,1위_중국,"1,297,447명",예측,아시아,25.0%,-,80.7%,성장잠재력_높음
2026년_국가별,2위_일본,"929,105명",예측,아시아,17.9%,-,80.7%,성장잠재력_높음
2026년_국가별,3위_미국,"627,020명",예측,아메리카,12.1%,-,80.7%,성장잠재력_중간
2026년_국가별,4위_기타국가,"623,704명",예측,기타,12.0%,-,80.7%,성장잠재력_중간
2026년_국가별,5위_태국,"414,194명",예측,아시아,8.0%,-,80.7%,성장잠재력_중간
2026년_국가별,6위_베트남,"366,332명",예측,아시아,7.1%,-,80.7%,성장잠재력_중간
2026년_국가별,7위_대만,"310,244명",예측,아시아,6.0%,-,80.7%,성장잠재력_중간
2026년_국가별,8위_필리핀,"257,056명",예측,아시아,5.0%,-,80.7%,성장잠재력_낮음
2026년_국가별,9위_말레이시아,"207,542명",예측,아시아,4.0%,-,80.7%,성장잠재력_낮음
2026년_국가별,10위_인도,"155,045명",예측,아시아,3.0%,-,80.7%,성장잠재력_낮음
2026년_목적별_계절별,경유_가을,"129,862명",예측,경유목적,2.5%,-,80.7%,가을_경유_수요
2026년_목적별_계절별,경유_겨울,"109,420명",예측,경유목적,2.1%,-,80.7%,겨울_경유_수요
2026년_목적별_계절별,경유_봄,"117,616명",예측,경유목적,2.3%,-,80.7%,봄_경유_수요
2026년_목적별_계절별,경유_여름,"160,164명",예측,경유목적,3.1%,-,80.7%,여름_경유_수요
2026년_목적별_계절별,관광_가을,"844,400명",예측,관광목적,16.3%,-,80.7%,가을_관광_수요
2026년_목적별_계절별,관광_겨울,"714,446명",예측,관광목적,13.8%,-,80.7%,겨울_관광_수요
2026년_목적별_계절별,관광_봄,"771,147명",예측,관광목적,14.9%,-,80.7%,봄_관광_수요
2026년_목적별_계절별,관광_여름,"1,046,298명",예측,관광목적,20.2%,-,80.7%,여름_관광_수요
2026년_목적별_계절별,기타_가을,"64,675명",예측,기타목적,1.2%,-,80.7%,가을_기타_수요
2026년_목적별_계절별,기타_겨울,"54,240명",예측,기타목적,1.0%,-,80.7%,겨울_기타_수요
2026년_목적별_계절별,기타_봄,"58,774명",예측,기타목적,1.1%,-,80.7%,봄_기타_수요
2026년_목적별_계절별,기타_여름,"79,895명",예측,기타목적,1.5%,-,80.7%,여름_기타_수요
2026년_목적별_계절별,비즈니스_가을,"261,315명",예측,비즈니스목적,5.0%,-,80.7%,가을_비즈니스_수요
2026년_목적별_계절별,비즈니스_겨울,"219,464명",예측,비즈니스목적,4.2%,-,80.7%,겨울_비즈니스_수요
2026년_목적별_계절별,비즈니스_봄,"236,158명",예측,비즈니스목적,4.6%,-,80.7%,봄_비즈니스_수요
2026년_목적별_계절별,비즈니스_여름,"319,815명",예측,비즈니스목적,6.2%,-,80.7%,여름_비즈니스_수요
2026년_요일패턴,주말_비수기,"758,309명",예측,주말,14.6%,-,80.7%,비수기_주말_패턴
2026년_요일패턴,주말_성수기,"557,196명",예측,주말,10.7%,-,80.7%,성수기_주말_패턴
2026년_요일패턴,주말_준성수기,"469,857명",예측,주말,9.1%,-,80.7%,준성수기_주말_패턴
2026년_요일패턴,평일_비수기,"1,340,255명",예측,평일,25.8%,-,80.7%,비수기_평일_패턴
2026년_요일패턴,평일_성수기,"1,137,834명",예측,평일,21.9%,-,80.7%,성수기_평일_패턴
2026년_요일패턴,평일_준성수기,"924,238명",예측,평일,17.8%,-,80.7%,준성수기_평일_패턴
